E.C,TDS,Cl,NO3 ,Na,T.H,Mg,SAR,Ca,K,Classification
1473,942.72,280,93.67335,119.9665707,479.9095395,53.482,2.380963386,104.0,2.47,Poor
1211,775.04,190,39.861,156.5653097,259.9424342,34.034,4.222105826,48.0,8.8,Poor
1856,1187.84,350,108.0676,174.6639509,519.8519737,87.516,3.330700599,64.0,29.5,Poor
1974,1263.36,350,107.6247,263.9425723,419.8848684,68.068,5.600367115,56.0,2.5,Poor
1667,1066.88,330,188.2325,119.4802649,579.8190789,106.964,2.157357356,56.0,1.78,Poor
758,485.12,70,21.33972727,52.0,259.9259868,43.758,1.402331395,32.0,4.0,Poor
678,433.92,80,12.28040909,84.0,199.9588816,24.31,2.582742449,40.0,1.0,Moderate
2783,1781.12,540,3.019772727,576.0,219.9259868,43.758,16.88715045,16.0,4.0,Bad
1255,803.2,170,18.52127273,174.0,259.9424342,34.034,4.692268135,48.0,1.0,Poor
528,337.92,60,43.48472727,40.0,239.9506579,29.172,1.122719286,48.0,6.0,Moderate
689,440.96,60,2.818454545,36.0,259.9424342,34.034,0.970814097,48.0,2.0,Moderate
802,513.28,30,14.1728,92.85292624,199.9588816,24.31,2.854942787,40.0,2.5,Poor
841,538.24,90,20.59485,65.52229149,279.9506579,29.172,1.702630839,64.0,1.81,Poor
1090,697.6,110,17.49455,95.48600542,339.9177632,48.62,2.251774824,56.0,2.31,Poor
804,514.56,130,19.9305,56.94063963,279.9342105,38.896,1.479675616,48.0,1.8,Poor
1450,928.0,280,101.867,105.2190557,499.8684211,77.792,2.046155867,72.0,2.85,Poor
2070,1324.8,400,143.9425,201.693798,599.8519737,87.516,3.580491623,96.0,5.5,Bad
1350,864.0,130,26.574,100.9264493,459.8766447,72.93,2.046239583,64.0,1.93,Poor
870,556.8,170,29.89575,74.57495511,259.9671053,19.448,2.01097173,72.0,13.5,Poor
830,531.2,150,20.15195,72.73548026,259.9424342,34.034,1.961461933,48.0,0.85,Poor
2830,1811.2,590,232.5225,305.9359156,759.8519737,87.516,4.82545345,160.0,3.3,Bad
2110,1350.4,480,155.015,119.7580697,799.8355263,97.24,1.841096727,160.0,4.2,Poor
1721,1101.44,320,201.5195,138.4252969,559.8684211,77.792,2.543575549,96.0,6.5,Poor
714,456.96,40,24.8024,63.58111447,219.9588816,24.31,1.863929787,48.0,1.87,Moderate
1310,838.4,170,155.015,91.93025039,459.8601974,82.654,1.863878919,48.0,1.44,Poor
350,224.0,30,13.7299,25.34785991,119.9835526,9.724,1.006126537,32.0,1.3,Moderate
2920,1868.8,770,186.018,169.4580472,1099.819079,106.964,2.221640259,264.0,5.0,Bad
382,244.48,30,2.87885,22.0852428,139.9753289,14.586,0.811612251,32.0,3.85,Moderate
710,454.4,80,37.6465,44.80065673,259.9424342,34.034,1.20814192,48.0,0.95,Moderate
381,243.84,40,2.43595,21.8373952,139.9835526,9.724,0.802480508,40.0,3.87,Moderate
870,556.8,50,9.07945,80.39848452,259.9671053,19.448,2.168007735,72.0,3.6,Poor
1085,694.4,120,12.62265,158.9467674,199.9588816,24.31,4.887125755,40.0,1.9,Poor
2250,1440.0,460,54.9196,189.9321594,719.9013158,58.344,3.077755998,192.0,2.7,Bad
412,263.68,30,2.2145,19.80130163,159.9753289,14.586,0.680674369,40.0,3.94,Moderate
1668,1067.52,240,143.0567,99.84615619,619.9506579,29.172,1.743512044,200.0,4.17,Poor
1051,672.64,50,50.71205,105.5447845,299.9671053,19.448,2.649550036,88.0,1.05,Poor
1411,903.04,200,38.0894,151.7265771,379.9013158,58.344,3.384530448,56.0,2.2,Poor
240,153.6,20,79.35580223,19.0,79.97532895,14.586,0.923735741,16.0,1.0,Good
340,217.6,30,9.8080205,33.0,99.98355263,9.724,1.434900615,24.0,1.0,Moderate
1612,1031.68,250,10.69965873,223.0,339.9013158,58.344,5.258968919,40.0,0.5,Poor
1569,1004.16,110,45.47354959,257.0,239.9424342,34.034,7.213595024,40.0,11.0,Poor
1059,677.76,150,101.20265,69.39478669,359.9342105,38.896,1.590330711,80.0,18.77,Poor
1574,1007.36,210,73.5214,73.42677121,619.9013158,58.344,1.282228177,152.0,12.0,Poor
1986,1271.04,320,137.52045,82.90497879,819.7861842,126.412,1.258932598,120.0,2.28,Poor
2060,1318.4,330,223.88595,98.97333282,819.7697368,136.136,1.502949603,104.0,4.2,Poor
1475,944.0,130,58.24135,84.12445627,559.8601974,82.654,1.545804751,88.0,1.67,Poor
2742,1754.88,600,84.151,240.9355435,859.7861842,126.412,3.572545807,136.0,0.9,Bad
1299,831.36,130,52.2622,135.3795653,359.9013158,58.344,3.102655538,48.0,1.4,Poor
1592,1018.88,240,108.73195,130.537583,519.9013158,58.344,2.489128244,112.0,0.22,Poor
